filename,width,height,class,xmin,ymin,xmax,ymax
armas (1000),275,183,pistol,97,4,215,96
armas (1001),263,192,pistol,96,17,227,72
armas (1002),183,275,pistol,121,72,135,137
armas (1003),265,190,pistol,108,51,240,134
armas (1004),183,275,pistol,12,69,119,140
armas (1005),301,167,pistol,85,50,173,117
armas (1006),94,206,pistol,1,25,31,64
armas (1007),311,162,pistol,98,43,212,116
armas (1008),259,195,pistol,19,26,67,83
armas (1009),290,174,pistol,215,36,248,71
armas (1010),195,258,pistol,56,22,117,86
armas (1011),275,183,pistol,27,18,210,119
armas (1012),183,275,pistol,20,17,160,247
armas (1013),275,184,pistol,76,47,181,103
armas (1014),192,240,pistol,150,26,167,81
armas (1015),268,188,pistol,114,84,137,129
armas (1016),183,275,pistol,56,8,104,44
armas (1016),183,275,pistol,54,87,86,138
armas (1017),183,275,pistol,71,60,109,108
armas (1018),259,194,pistol,78,72,111,96
armas (1019),269,187,pistol,39,55,165,145
armas (1020),231,218,pistol,18,5,58,123
armas (1021),275,183,pistol,149,35,246,163
armas (1022),198,254,pistol,79,101,101,109
armas (1023),275,183,pistol,66,56,112,173
armas (1024),275,183,pistol,162,38,189,72
armas (1025),183,276,pistol,113,128,161,206
armas (1025),183,276,pistol,86,127,116,206
armas (1026),275,183,pistol,94,20,183,109
armas (1027),183,275,pistol,73,125,100,183
armas (1028),276,183,pistol,122,55,168,91
armas (1029),260,194,pistol,25,54,166,158
armas (1030),183,275,pistol,28,37,64,99
armas (1031),183,275,pistol,143,74,179,99
armas (1032),168,300,pistol,108,115,168,160
armas (1033),183,276,pistol,42,106,62,131
armas (1034),275,183,pistol,130,46,247,124
armas (1035),277,182,pistol,104,43,174,141
armas (1036),251,201,pistol,162,34,207,115
armas (1037),192,262,pistol,2,48,176,200
armas (1038),275,183,pistol,36,8,210,128
armas (1039),275,183,pistol,130,3,175,73
armas (1039),275,183,pistol,76,40,137,126
armas (1040),261,193,pistol,139,44,239,99
armas (1041),275,183,pistol,101,24,238,120
armas (1042),249,202,pistol,36,67,95,160
armas (1043),268,188,pistol,83,20,142,74
armas (1044),212,238,pistol,3,48,47,90
armas (1045),276,183,pistol,70,27,209,127
armas (1046),252,200,pistol,181,101,233,140
armas (1047),275,183,pistol,67,12,230,88
armas (1048),275,183,pistol,4,37,125,105
armas (1049),259,194,pistol,10,14,215,121
armas (1050),640,480,pistol,28,145,639,409
armas (1051),1000,1193,pistol,79,203,1000,562
armas (1052),4272,2848,pistol,1302,750,3296,2090
armas (1053),500,381,pistol,84,25,470,360
armas (1054),800,566,pistol,65,71,737,503
armas (1055),800,488,pistol,1,82,800,488
armas (1056),1024,683,pistol,386,197,726,414
armas (1057),1300,866,pistol,180,163,1135,553
armas (1058),660,471,pistol,1,1,610,399
armas (1059),640,480,pistol,1,1,637,480
armas (1060),400,268,pistol,73,59,280,204
armas (1061),2592,1728,pistol,1279,526,1450,847
armas (1062),375,275,pistol,30,93,292,187
armas (1062),375,275,pistol,76,118,337,200
armas (1063),600,265,pistol,4,3,459,211
armas (1064),356,540,pistol,67,15,91,187
armas (1065),600,483,pistol,57,127,173,330
armas (1066),639,439,pistol,126,172,347,407
armas (1067),527,413,pistol,29,172,162,236
armas (1067),527,413,pistol,202,167,327,242
armas (1067),527,413,pistol,373,169,498,242
armas (1068),220,379,pistol,175,37,218,72
armas (1069),2634,2340,pistol,1029,132,2517,2078
armas (1069),2634,2340,pistol,179,545,1521,2211
armas (1070),634,357,pistol,543,128,569,154
armas (1071),640,360,pistol,269,72,566,271
armas (1072),400,298,pistol,8,8,397,289
